socialHeadline,headline,urlAlias,updatedDate
"""Protesters seeking freedoms risk destroying everyone else’s""","""Hong Kong protesters seeking greater freedoms risk destroying everyone else’s""","""https://scmp.com/print/comment/letters/article/3037513/hong-kong-protesters-seeking-greater-freedoms-risk-destroying""",2019-11-13 23:30:06
"""Why an independent inquiry may be Carrie Lam’s last chance""","""As Hong Kong protest nightmare worsens, an independent inquiry is Carrie Lam’s last chance to redeem herself""","""https://scmp.com/print/comment/letters/article/3037388/hong-kong-protest-nightmare-worsens-independent-inquiry-carrie-lams""",2019-11-13 23:00:08
"""Protesters hunker down on Hong Kong university campuses""","""Student protesters hunker down at Hong Kong campuses in anticipation of clashes with police""","""https://scmp.com/print/video/scmp-originals/3037621/student-protesters-hunker-down-hong-kong-campuses-anticipation-clashes""",2019-11-13 17:57:13
"""Lunchtime protests continue in Hong Kong’s Central district""","""Crowds return to Hong Kong’s financial centre for another lunchtime protest""","""https://scmp.com/print/video/hong-kong/3037618/crowds-return-hong-kongs-financial-centre-another-lunchtime-protest""",2019-11-13 16:16:31
"""Hard-core protesters cripple Hong Kong for third straight day""","""Hong Kong protests: city crippled for third straight day as radicals torch tunnel tollbooths, take over roads in 10 districts and vandalise train stations""","""https://scmp.com/print/news/hong-kong/society/article/3037616/hong-kong-protests-city-crippled-third-straight-day-radicals""",2019-11-14 06:52:41
"""Fourfold surge in number of school students held over protests""","""Hong Kong protests: more than fourfold surge in under two months in number of school students arrested""","""https://scmp.com/print/news/hong-kong/politics/article/3037604/hong-kong-protests-more-fourfold-surge-under-two-months""",2019-11-13 16:50:48
"""Education Bureau slammed for delay in suspending classes""","""Hong Kong’s Education Bureau slammed for delay in suspending classes amid chaos in the city""","""https://scmp.com/print/news/hong-kong/politics/article/3037605/hong-kongs-education-bureau-slammed-delay-suspending""",2019-11-13 16:38:05
"""Elderly man clings to life after being hit in head with protesters’ brick""","""Elderly  man clings to life after being hit in head by brick thrown by Hong Kong protesters during clash with residents in Sheung Shui""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3037601/elderly-hong-kong-man-clings-life-after-hit-head-brick""",2019-11-13 22:22:13
"""High Court denies student leader’s bid to bar police from Chinese University""","""High Court denies injunction sought by Chinese University student leader to bar Hong Kong police from campus after days of clashes with protesters""","""https://scmp.com/print/news/hong-kong/politics/article/3037600/high-court-denies-injunction-sought-chinese-university""",2019-11-13 14:46:18
"""Stay or go? Hong Kong’s foreign students pack bags amid protest chaos""","""Stay or go? Hong Kong’s international students pack their bags amid protest chaos""","""https://scmp.com/print/week-asia/politics/article/3037599/stay-or-go-hong-kongs-international-students-pack-their-bags""",2019-11-16 01:50:51
"""Link Reit is discussing rent relief with tenants at 10 protest-hit malls""","""Hong Kong malls landlord Link Reit is discussing rent relief with tenants at 10 protest-hit shopping centres, company says""","""https://scmp.com/print/business/article/3037587/hong-kong-malls-landlord-link-reit-discussing-rent-relief-tenants-10""",2019-11-14 07:29:20
"""Cathay Pacific further lowers profit forecast as aviation summit cancelled""","""Cathay Pacific further lowers profit forecast over Hong Kong’s protest crisis as Asian aviation summit cancelled""","""https://scmp.com/print/news/hong-kong/transport/article/3037586/cathay-pacific-further-lowers-profit-forecast-over-hong""",2019-11-13 14:59:04
"""Developers pick up Kai Tak’s most valuable plot at 27 per cent discount""","""Developers pick up Kai Tak’s most valuable harbourfront land plot at 27 per cent discount as protests send property market into tailspin""","""https://scmp.com/print/business/article/3037577/developers-pick-kai-taks-most-valuable-harbourfront-land-plot-discount""",2019-11-14 02:44:22
"""Taiwan’s Tsai urges Hong Kong leaders to pull city back from the brink""","""Taiwan’s President Tsai Ing-wen urges Hong Kong’s leaders to pull city ‘back from the brink’""","""https://scmp.com/print/news/china/politics/article/3037539/taiwans-president-tsai-ing-wen-urges-hong-kongs-leaders-pull""",2019-11-13 11:08:49
"""Fourth consecutive day of protest chaos in Hong Kong""","""Hong Kong wakes up to fourth consecutive day of protest disorder and stand-offs""","""https://scmp.com/print/video/hong-kong/3037532/hong-kong-wakes-fourth-consecutive-day-protest-disorder-and-stand-offs""",2019-11-20 07:57:42
"""Five Chinese University students charged with rioting in Hong Kong""","""Hong Kong protests: five Chinese University students charged with rioting over Monday’s disturbance on Sha Tin campus""","""https://scmp.com/print/news/hong-kong/law-and-crime/article/3037502/hong-kong-protests-five-chinese-university-students""",2019-11-13 08:59:30
