socialHeadline,headline,urlAlias,updatedDate
"""Hong Kong government formally withdraws ‘dead’ extradition bill""","""Hong Kong’s ‘dead’ extradition bill finally buried as government formally withdraws it""",https://scmp.com/print/news/hong-kong/politics/article/3034263/hong-kong-government-officially-withdraws-extradition-bill,23/10/2019 15:40
"""Release of murder suspect: media scrum, press motorcade and police protection""","""Murder suspect Chan Tong-kai’s release from Hong Kong prison: media scrum, press motorcade and police protection""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034257/murder-suspect-chan-tong-kais-release-hong-kong-prison,23/10/2019 15:39
"""Voter register shield to prevent doxxing to remain through district elections""","""Injunction to shield Hong Kong voter register from public to prevent doxxing to remain through district council elections – as police group pleas to make it permanent""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034250/injunction-shield-hong-kong-voter-registry-public,23/10/2019 15:34
"""From Hong Kong to South Korea, a look at Asia’s student-led protests""","""A look at Asia’s biggest student-led protests from South Korea to Thailand to Hong Kong""",https://scmp.com/print/news/asia/east-asia/article/3034165/look-asias-biggest-student-led-protests-south-korea-thailand,24/10/2019 02:13
"""China dismisses reports of Carrie Lam replacement plans for Hong Kong""","""China dismisses reports of Carrie Lam replacement plans for Hong Kong""",https://scmp.com/print/news/china/politics/article/3034237/china-dismisses-reports-carrie-lam-replacement-plans-hong-kong,23/10/2019 15:34
"""Thief jailed for looting Xiaomi shop  trashed during Hong Kong protest""","""Hong Kong man jailed for looting Xiaomi store that was trashed by protesters in Mong Kok""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034221/hong-kong-man-jailed-looting-xiaomi-store-was-trashed,23/10/2019 14:54
"""Japanese PM calls for peaceful solution to Hong Kong crisis""","""Japanese Prime Minister Shinzo Abe calls for peaceful resolution to Hong Kong crisis in meeting with Chinese Vice-President Wang Qishan""",https://scmp.com/print/news/china/diplomacy/article/3034219/japanese-prime-minister-shinzo-abe-calls-peaceful-resolution,23/10/2019 08:32
"""Will HK$100 million bailout boost Hong Kong’s struggling tourism industry?""","""Hong Kong’s struggling tourism sector gets HK$100 million cash sweetener, but industry says it means ‘nothing’ with no customers""",https://scmp.com/print/news/hong-kong/politics/article/3034203/hong-kongs-struggling-tourism-sector-gets-hk100-million,23/10/2019 15:06
"""Students deface Singapore lecturer’s office over ‘political agenda’""","""Students vandalise Singapore lecturer’s office at City University of Hong Kong over his ‘political agendas’ warning""",https://scmp.com/print/news/asia/southeast-asia/article/3034184/students-vandalise-singapore-lecturers-office-city,24/10/2019 12:18
"""Will murder suspect’s return to Taiwan end Hong Kong’s violence?""","""Months of Hong Kong protests started with a murder. Will suspected killer’s return to Taiwan end it?""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034163/months-hong-kong-protests-and-violence-started-taiwan,24/10/2019 02:14
"""Pro-democracy ex-policewoman and funeral instructor among poll first-timers""","""Hong Kong district council elections: pro-democracy ex-policewoman and funeral instructor among poll first-timers""",https://scmp.com/print/news/hong-kong/politics/article/3034079/hong-kong-district-council-elections-pro-democracy-ex,23/10/2019 05:21
"""Hong Kong murder suspect whose case sparked protest crisis released from jail""","""Hong Kong murder suspect at centre of extradition bill crisis begs for public forgiveness upon release from jail""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034128/hong-kong-murder-suspect-chan-tong-kai-who-triggered,23/10/2019 15:40
"""The teens firing up the increasingly violent Hong Kong protest movement""","""Hong Kong protests: from throwing bricks at police vans to becoming experts at putting out tear gas, meet the teenagers who are risking it all for their ideals""",https://scmp.com/print/news/hong-kong/politics/article/3034113/hong-kong-protests-throwing-bricks-police-vans-becoming,23/10/2019 04:46
"""Why Canada election candidates dodged Hong Kong protest ‘minefield’""","""Why Canada election candidates dodged Hong Kong protest ‘minefield’ ahead of Justin Trudeau’s win""",https://scmp.com/print/news/hong-kong/article/3034123/why-canada-election-candidates-dodged-hong-kong-protest-minefield,23/10/2019 01:47
"""Petition calls on Hong Kong university chief to ‘condemn police brutality’""","""Hong Kong protests: more than 2,600 sign petition demanding university chief ‘condemn police brutality’ and hold dialogue with students""",https://scmp.com/print/news/hong-kong/education/article/3034121/hong-kong-protests-more-2600-sign-petition-demanding,22/10/2019 20:47
"""US presidential contender among 3 more senators supporting Hong Kong bill""","""Three more US senators back Hong Kong  bill, including presidential candidate Kamala Harris""",https://scmp.com/print/news/china/diplomacy/article/3034119/three-more-us-senators-back-hong-kong-pro-democracy-bill,23/10/2019 00:48
"""Lawmakers hit out at police officer for online comments against government""","""Pan-democrat lawmakers hit out at police officer for comments on social media against Hong Kong government and judiciary officials""",https://scmp.com/print/news/hong-kong/politics/article/3034117/pan-democrat-lawmakers-hit-out-police-officer-comments,22/10/2019 19:25
"""Hong Kong rejects Taipei’s ‘totally unacceptable’ offer on murder suspect""","""Hong Kong government rejects ‘totally unacceptable’ offer from Taiwan to send officials to city to take back murder suspect who sparked protests""",https://scmp.com/print/news/hong-kong/politics/article/3034116/hong-kong-government-silent-taiwan-raises-stakes-escalating,23/10/2019 01:50
"""Charges dropped for protester found with explosives in new legal blunder""","""Another legal blunder by Hong Kong prosecutors sees charges dropped for suspected protester found with huge explosives cache""",https://scmp.com/print/news/hong-kong/law-and-crime/article/3034112/another-legal-blunder-hong-kong-prosecutors-sees,22/10/2019 16:27
"""Pro-democracy lawmaker Eddie Chu gets nod for district council run""","""Pro-democracy lawmaker Eddie Chu gets nod to run in district council elections after he confirms renouncing Hong Kong’s self-determination""",https://scmp.com/print/news/hong-kong/politics/article/3034111/pro-democracy-lawmaker-eddie-chu-gets-nod-run-district,22/10/2019 20:00
"""YouTube star PewDiePie jumps on ‘banned in China’ bandwagon""","""YouTube star PewDiePie jumps on ‘banned in China’ bandwagon""",https://scmp.com/print/news/china/politics/article/3034097/youtube-star-pewdiepie-jumps-banned-china-bandwagon,22/10/2019 15:32
"""Taiwan reverses decision on fugitive Hong Kong murder suspect""","""Taiwan asks Hong Kong to hand over fugitive murder suspect Chan Tong-kai after U-turn on request for formal talks""",https://scmp.com/print/news/china/politics/article/3034064/taiwan-reverses-decision-fugitive-murder-suspect,23/10/2019 08:49
"""Top official denies government lacks empathy for those injured during protests""","""Hong Kong No 2 official rejects suggestion government lacks empathy for residents injured during protests, calls Carrie Lam’s visit to Kowloon Mosque ‘show of respect’""",https://scmp.com/print/news/hong-kong/politics/article/3034060/hong-kong-no-2-official-rejects-suggestion-government-lacks,22/10/2019 10:48
"""Finance chief rolls out fresh HK$2 billion package of relief measures""","""Hong Kong rolls out fresh HK$2 billion package of relief measures to counter double whammy of ongoing protests and US-China trade war""",https://scmp.com/print/news/hong-kong/politics/article/3034039/hong-kong-rolls-out-fresh-hk2-billion-package-relief,23/10/2019 12:21
"""Tear gas has not affected water and air quality in Hong Kong: health minister""","""Tear gas fired at Hong Kong protests has not affected water and air quality, says health minister responding to exposure fears""",https://scmp.com/print/news/hong-kong/health-environment/article/3034008/tear-gas-fired-hong-kong-protests-has-not,22/10/2019 08:07
"""Don’t put politics before justice, Hong Kong urges Taiwan over fugitive case""","""Don’t put politics before justice, Hong Kong urges Taiwan over fugitive case which sparked anti-government unrest""",https://scmp.com/print/news/hong-kong/politics/article/3033988/dont-put-politics-justice-hong-kong-urges-taiwan-over,23/10/2019 08:49
"""China’s Wang Yi blames foreign forces for ‘sowing chaos’ in Hong Kong""","""Hong Kong protest violence being fanned by foreign forces, China’s Wang Yi claims""",https://scmp.com/print/news/china/article/3033963/chinas-wang-yi-blames-foreign-forces-sowing-chaos-hong-kong,22/10/2019 05:53
"""Event for region’s top judges put on hold because of Hong Kong protests""","""Hong Kong protests: organisers postpone event for top judges in Asia-Pacific region fearing ongoing unrest will affect attendance numbers""",https://scmp.com/print/news/hong-kong/politics/article/3033725/hong-kong-protests-organisers-postpone-event-top-judges,22/10/2019 02:17
"""Why Hong Kong ‘radicals’ have turned on mainland China targets""","""Taking aim at China: why Hong Kong ‘radicals’ have turned on mainland Chinese targets""",https://scmp.com/print/news/china/politics/article/3033909/taking-aim-china-why-hong-kong-radicals-have-turned-mainland,22/10/2019 04:58
"""Hong Kong district council elections: how opposition camp plans to put up a fierce fight""","""Hong Kong’s district council elections: how the opposition camp plans to give their pro-establishment rivals a fierce fight""",https://scmp.com/print/news/hong-kong/politics/article/3033784/hong-kongs-district-council-elections-how-opposition-camp,22/10/2019 01:07
"""Tear gas, petrol bombs and vandalism as chaos returns to Yuen Long""","""Hong Kong protests: chaos returns to streets of Yuen Long as riot police use tear gas to disperse crowd marking three-month anniversary of attack in railway station""",https://scmp.com/print/news/hong-kong/politics/article/3033945/hong-kong-protests-chaos-returns-streets-yuen-long-riot,22/10/2019 03:18
"""Hong Kong, Taiwan clash over surrender of fugitive murder suspect""","""Hong Kong and Taiwan clash over surrender of murder suspect whose case sparked extradition bill crisis and mass protests""",https://scmp.com/print/news/hong-kong/politics/article/3033944/hong-kong-and-taiwan-clash-over-surrender-fugitive-murder,23/10/2019 09:11
